"Date","Ethnicity","Observations"
2018-03-31,"Māori",50
2018-03-31,"European",31.3
2018-03-31,"Pacific",11.6
2018-03-31,"Other (incl. Asian)",4.4
2018-03-31,"Unknown",2.7
2018-06-30,"Māori",50.7
2018-06-30,"European",31
2018-06-30,"Pacific",11.4
2018-06-30,"Other (incl. Asian)",4.2
2018-06-30,"Unknown",2.7
2018-09-30,"Māori",51
2018-09-30,"European",30.7
2018-09-30,"Pacific",11
2018-09-30,"Other (incl. Asian)",4.5
2018-09-30,"Unknown",2.8
2018-12-31,"Māori",51
2018-12-31,"European",30.7
2018-12-31,"Pacific",11.2
2018-12-31,"Other (incl. Asian)",4.6
2018-12-31,"Unknown",2.5
2019-03-31,"Māori",51.3
2019-03-31,"European",30.7
2019-03-31,"Pacific",11.6
2019-03-31,"Other (incl. Asian)",4.6
2019-03-31,"Unknown",1.8
2019-06-30,"Māori",51.7
2019-06-30,"European",30.8
2019-06-30,"Pacific",11.8
2019-06-30,"Other (incl. Asian)",4.6
2019-06-30,"Unknown",1.1
2019-09-30,"Māori",51.9
2019-09-30,"European",30.9
2019-09-30,"Pacific",12
2019-09-30,"Other (incl. Asian)",5
2019-09-30,"Unknown",0.2
2019-12-31,"Māori",51.8
2019-12-31,"European",31.1
2019-12-31,"Pacific",11.7
2019-12-31,"Other (incl. Asian)",5.2
2019-12-31,"Unknown",0.2
2020-03-31,"Māori",52.8
2020-03-31,"European",30.5
2020-03-31,"Pacific",11.5
2020-03-31,"Other (incl. Asian)",4.9
2020-03-31,"Unknown",0.3
2020-06-30,"Māori",52.3
2020-06-30,"European",30.9
2020-06-30,"Pacific",11.7
2020-06-30,"Other (incl. Asian)",4.9
2020-06-30,"Unknown",0.2
2020-09-30,"Māori",52.9
2020-09-30,"European",30.5
2020-09-30,"Pacific",11.5
2020-09-30,"Other (incl. Asian)",4.9
2020-09-30,"Unknown",0.2
2020-12-31,"Māori",52.2
2020-12-31,"European",31.2
2020-12-31,"Pacific",11.5
2020-12-31,"Other (incl. Asian)",4.8
2020-12-31,"Unknown",0.3
2021-03-31,"Māori",52.7
2021-03-31,"European",30.6
2021-03-31,"Pacific",11.5
2021-03-31,"Other (incl. Asian)",4.9
2021-03-31,"Unknown",0.3
2021-06-30,"Māori",53.1
2021-06-30,"European",30.2
2021-06-30,"Pacific",11.5
2021-06-30,"Other (incl. Asian)",4.9
2021-06-30,"Unknown",0.3
2021-09-30,"Māori",52.5
2021-09-30,"European",30.4
2021-09-30,"Pacific",12
2021-09-30,"Other (incl. Asian)",4.7
2021-09-30,"Unknown",0.4
2021-12-31,"Māori",53.2
2021-12-31,"European",30.2
2021-12-31,"Pacific",11.5
2021-12-31,"Other (incl. Asian)",4.5
2021-12-31,"Unknown",0.6
2022-03-31,"Māori",53.4
2022-03-31,"European",30
2022-03-31,"Pacific",11.7
2022-03-31,"Other (incl. Asian)",4.3
2022-03-31,"Unknown",0.6
2022-06-30,"Māori",53.4
2022-06-30,"European",29.5
2022-06-30,"Pacific",11.8
2022-06-30,"Other (incl. Asian)",4.4
2022-06-30,"Unknown",0.9
2022-09-30,"Māori",53
2022-09-30,"European",29.8
2022-09-30,"Pacific",11.6
2022-09-30,"Other (incl. Asian)",4.5
2022-09-30,"Unknown",1.1
2022-12-31,"Māori",53.2
2022-12-31,"European",29.6
2022-12-31,"Pacific",11.2
2022-12-31,"Other (incl. Asian)",4.6
2022-12-31,"Unknown",1.4
2023-03-31,"Māori",52.8
2023-03-31,"European",30.1
2023-03-31,"Pacific",11.2
2023-03-31,"Other (incl. Asian)",4.4
2023-03-31,"Unknown",1.5
2023-06-30,"Māori",52.7
2023-06-30,"European",29.4
2023-06-30,"Pacific",11.6
2023-06-30,"Other (incl. Asian)",4.6
2023-06-30,"Unknown",1.7
2023-09-30,"Māori",52
2023-09-30,"European",30
2023-09-30,"Pacific",11.9
2023-09-30,"Other (incl. Asian)",4.7
2023-09-30,"Unknown",1.4
2023-12-31,"Māori",51.9
2023-12-31,"European",30
2023-12-31,"Pacific",11.9
2023-12-31,"Other (incl. Asian)",4.5
2023-12-31,"Unknown",1.7
2024-03-31,"Māori",52.4
2024-03-31,"European",29.6
2024-03-31,"Pacific",11.6
2024-03-31,"Other (incl. Asian)",4.6
2024-03-31,"Unknown",1.8
